Componente ambiental,matriz,Submatriz,Nombre del punto,Este,Norte,Zona,Datum,Altitud,Tipo de muestra,Parámetros que incumplen la norma,Norma de comparación,Descripción de ubicación,FECHA,Aluminio,Aluminio disuelto,Antimonio,Antimonio disuelto,Arsénico,Arsénico disuelto,Bario,Bario disuelto,Berilio,Berilio disuelto,Bicarbonatos,Bismuto,Bismuto disuelto,Boro,Boro disuelto,Cadmio,Cadmio disuelto,Calcio,Calcio disuelto,Carbonatos,Caudal,Cloruros,Cobalto,Cobalto disuelto,Cobre,Cobre disuelto,Conductividad,Cromo,Cromo disuelto,Demanda Química de Oxígeno (DQO),Estaño,Estaño disuelto,Estroncio,Estroncio disuelto,Fósforo,Fósforo disuelto,Hierro,Hierro disuelto,Litio,Litio disuelto,Magnesio,Magnesio disuelto,Manganeso,Manganeso disuelto,Mercurio,Mercurio disuelto,Molibdeno,Molibdeno disuelto,Níquel,Níquel disuelto,Nitratos (NO3-N) + Nitritos (NO2-N),Nitrógeno Amoniacal,Nitrógeno Total,Oxígeno Disuelto,pH,Plata,Plata disuelto,Plomo,Plomo disuelto,Potasio,Potasio disuelto,Selenio,Selenio disuelto,Silicio,Silicio disuelto,Sodio,Sodio disuelto,Sólidos Disueltos Totales (SDT),Sólidos Suspendidos Totales (SST),Sulfatos,Sulfuros,Talio,Talio disuelto,Temperatura,Titanio,Titanio disuelto,Vanadio,Vanadio disuelto,Zinc,Zinc disuelto,4-4῾DDD,4-4῾DDE,4-4῾DDT,4-4῾DDD,4-4῾DDE,4-4῾DDT,Albicarb (parental),Albicarb sulfona,Albicarb sulfóxido,Aldrín,Alfa-BHC (Hexacloruro de Benceno),Beta-BHC (Hexacloruro de Benceno),Chlordane,Coliformes termotolerantes,Delta-BHC (Hexacloruro de Benceno),Dieldrin,Dimethoate,Disulfoton,Endosulfan I,Endosulfan Ii,Endosulfan Sulfate,Endrin,Endrin Aldehyde,Endrin Ketone,EPN (Ethyl p-nitrophenyl),Famphur (Famophos),Gamma-BHC (Lindano),Heptaclor,Heptaclor Epoxide,Malathion,Methoxychlor,Methyl Parathion,Nitritos (NO2-N),"O,O,O-Triethyphosphoticate",Parathion,Phorate,Sulfotep,Thionazin
Agua,Agua subterránea,Agua subterránea de afloramiento,MSDom1,206160,8107383,19 Sur,WGS84,45,Simple,B,ECA agua 2017 (referencial),"Ubicado en el medio de la segunda trocha desde la carretera, la cual cruza los cañaverales y arrozales del sector Chacarerío",10/05/2017,"0,117","<0,005","<0,006","<0,006","0,075","0,074","0,049","0,047","<0,0005","<0,0005","267,6","<0,01","<0,01","5,164","4,816","<0,001","<0,001","182,8","181,2","0,7","0,038","412,6","<0,001","<0,001","0,027","<0,002",2400,"<0,001","<0,001","<2,0","<0,003","<0,003","2,0433","2,0343","0,06","0,05","0,146","0,006","0,767","0,755","30,88","30,65","0,018","0,0099","<0,0001","<0,0001","0,006","0,005","<0,002","<0,002","9,97","<0,01","<1,00","5,17","6,69","<0,002","<0,002","<0,001","<0,001","18,64","18,1","<0,006","<0,006","24,4",24,"320,9","304,2",1732,"11,2","319,5","<0,002","<0,007","<0,007","24,8","0,002","<0,001","<0,001","<0,001","0,007","0,004",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua subterránea,Agua subterránea de afloramiento,QRmar1,202143,8117057,19 Sur,WGS84,749,Simple,"Cloruros, Conductividad, Sólidos totales disueltos, Sulfatos, Ca. As, B, Mg",ECA agua 2017 (referencial),Agua entubada de la quebrada Rosa María.,10/05/2017,"<0,005","<0,005","<0,006","<0,006","<0,007","<0,007","0,018","0,016","<0,0005","<0,0005",144,"<0,01","<0,01","2,451","2,156","<0,001","<0,001",1031,"851,7","0,4","0,00015",2631,"<0,001","<0,001","<0,002","<0,002",10060,"<0,001","<0,001","37,8","<0,003","<0,003","4,1078","4,0648","0,06","0,05","0,007","<0,003","0,057","0,052","469,6",395,"0,003","0,002","<0,0001","<0,0001","0,009","0,008","<0,002","<0,002","41,31","<0,01","<1,00","6,34","7,42","<0,002","<0,002","<0,001","<0,001","77,98","69,2","0,009","0,007","13,2","11,5",1523,1231,6520,"<3,0",1301,"<0,002","<0,007","<0,007","23,9","<0,001","<0,001","<0,001","<0,001","0,034","<0,004",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua subterránea,Agua subterránea de afloramiento,QRmar2,201861,8117035,19 Sur,WGS84,714,Simple,"Oxígeno disuelto, Cloruros, Conductividad, Sólidos totales disueltos, Demanda química de oxígeno, As, B, Mn",ECA agua 2017 (referencial),"Agua entubada del ojo de agua s/n, ubicado en la quebrada Rosa María, en las instalaciones abandonadas de una antigua unidad minera de oro.",10/05/2017,"<0,005","<0,005","<0,006","<0,006","<0,007","<0,007","0,048","0,044","<0,0005","<0,0005",136,"<0,01","<0,01","2,162","2,019","<0,001","<0,001","864,1","666,1","7,4",3e-005,2591,"<0,001","<0,001","<0,002","<0,002",8930,"<0,001","<0,001","40,4","<0,003","<0,003","4,3453","4,2923","<0,01","<0,01","<0,003","<0,003","0,058","0,049","424,6","319,5","0,004","0,004","0,00098","0,0009","0,006","0,006","<0,002","<0,002","139,5","<0,01","<1,00","1,21","6,68","<0,002","<0,002","<0,001","<0,001","61,09","54,1","0,011","0,01","17,5","16,3",1079,"823,8",6150,"<3,0","956,4","<0,002","<0,007","<0,007","23,5","<0,001","<0,001","<0,001","<0,001","0,007","<0,004",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,CAEMM-01,191976,8107277,19 Sur,WGS84,66,Simple,"As, B",ECA agua 2017,"Canal de la junta de usuarios irrigación Ensenada-Mejía-Mollendo, aproximadamente 400 m aguas arriba de la toma de Sedapar.",12/05/2017,"1,708","1,434","<0,006","<0,006","0,169","0,159","0,074","0,065","<0,0005","<0,0005",135,"<0,01","<0,01","4,06","3,479","<0,001","<0,001","92,19","88,59",3,"1,24","354,8","<0,001","<0,001","0,077","0,068",1910,"<0,001","<0,001","6,8","<0,003","<0,003","1,364","1,226","0,21","0,06","1,514","0,876","0,576","0,516","20,15","18,6","0,122","0,095","<0,0001","<0,0001","0,004","0,003","<0,002","<0,002","0,52","<0,01","<1,00","8,96","8,33","<0,002","<0,002","<0,001","<0,001","15,88","13,7","<0,006","<0,006","14,6","13,6","238,8","218,2",1352,"141,2","268,6","<0,002","<0,007","<0,007","23,9","0,017","<0,001","<0,001","<0,001","0,069","0,058",-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,CAEMM-02,208989,8111680,19 Sur,WGS84,105,Simple,"As, B",ECA agua 2017,"Canal de la junta de usuarios irrigación Ensenada-Mejía-Mollendo, 700 m aproximadamente después de su desarenador.",9/05/2017,"1,815","0,121","<0,006","<0,006","0,179","0,155","0,061","0,054","<0,0005","<0,0005",133,"<0,01","<0,01","3,915","3,414","<0,001","<0,001","86,62","86,51","2,9","2,25","332,9","<0,001","<0,001","0,087","0,012",1867,"<0,001","<0,001","2,6","<0,003","<0,003","1,265","1,2274","0,06","<0,01","1,686","0,077","0,535","0,518","18,89","18,43","0,0983","0,041","<0,0001","<0,0001","0,004","0,004","<0,002","<0,002","0,92","<0,01","<1,00","8,69","7,42","<0,002","<0,002","<0,001","<0,001","14,74","13,7","<0,006","<0,006","14,2","13,1","224,7","214,1",1248,"41,6","156,2","<0,002","<0,007","<0,007","25,4","0,012","<0,001","<0,001","<0,001","0,075","0,008","<0,017","<0,015","<0,017",<5,<5,<5,"<0,016","<0,012",<5,"<0,016","<0,012","<0,014","<0,017",23,"<0,015","<0,017",<2,<3,"<0,015","<0,018","<0,018","<0,023","<0,020","<0,015",<1,<1,"<0,013","<0,015","<0,016",<1,"<0,012",<2,-,<1,<2,<1,<3,<1
Agua,Agua superficial,Agua superficial de ríos y quebradas,CAEMM-03,819137,8115055,19 Sur,WGS84,52,Simple,"As, B",ECA agua 2017,"Canal de la junta de usuarios irrigación Ensenada-Mejía-Mollendo, punto de toma de agua de Sedapar en el distrito de Mollendo.",9/05/2017,"1,451","0,068","<0,006","<0,006","0,149","0,135","0,06","0,055","<0,0005","<0,0005",122,"<0,01","<0,01","3,927","3,439","<0,001","<0,001","87,59","86,71","3,7",-,"344,9","<0,001","<0,001","0,068","0,009",1889,"<0,001","<0,001","4,5","<0,003","<0,003","1,304","1,25","0,05","<0,01","1,189","0,026","0,552","0,526","19,42","18,81","0,032","0,003","<0,0001","<0,0001","0,004","0,004","<0,002","<0,002","0,52","<0,01","<1,00","8,57","6,92","<0,002","<0,002","<0,001","<0,001","15,59","14,2","<0,006","<0,006","13,5","12,8","237,2","224,1",1218,"28,4","240,5","<0,002","<0,007","<0,007","23,3","0,01","<0,001","<0,001","<0,001","0,051","0,005",-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,CAEMM-04,205234,8110983,19 Sur,WGS84,95,Simple,"As, B",ECA agua 2017,"Canal de la junta de usuarios irrigación Ensenada-Mejía-Mollendo, en el distrito de Deán Valdivia.",10/05/2017,"1,548","0,061","<0,006","<0,006","0,183","0,162","0,062","0,053","<0,0005","<0,0005",127,"<0,01","<0,01","3,933","3,5","<0,001","<0,001","84,77","81,14","2,2","1,34","346,8","<0,001","<0,001","0,068","0,006",1815,"<0,001","<0,001","<2,0","<0,003","<0,003","1,193","1,1829","0,098","<0,01","1,312","0,023","0,507","0,502","17,81","17,64","0,0994","0,01","<0,0001","<0,0001","0,004","0,004","<0,002","<0,002","0,76","<0,01","<1,00","9,39","7,23","<0,002","<0,002","<0,001","<0,001","14,26","13,5","<0,006","<0,006","13,7","12,4","213,8","212,7",1262,"45,6","276,1","<0,002","<0,007","<0,007","23,2","0,011","<0,001","<0,001","<0,001","0,062","0,009",-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,CAPB-01,204791,8103053,19 Sur,WGS84,28,Simple,"As, B",ECA agua 2017,"Canal de Junta de Usuarios Punta de Bombón, a 450 m después de su desarenador al costado (derecha) de la carretera Zenen Velásquez a Punta de Bombón",9/05/2017,"1,355","0,068","<0,006","<0,006","0,155","0,142","0,056","0,054","<0,0005","<0,0005",141,"<0,01","<0,01","3,941","3,338","<0,001","<0,001","92,71","84,36","2,8","2,63","348,8","<0,001","<0,001","0,071","0,011",1884,"<0,001","<0,001","<2,0","<0,003","<0,003","1,276","1,1941","0,04","<0,01","1,174","0,027","0,536","0,493","18,73","17,78","0,081","0,034","<0,0001","<0,0001","0,004","0,004","<0,002","<0,002","0,88","<0,01","<1,00","8,71","7,6","<0,002","<0,002","<0,001","<0,001","14,85","13,4","<0,006","<0,006","12,8","12,3","228,3","210,2",1254,"32,8","282,7","<0,002","<0,007","<0,007","23,5","0,004","<0,001","<0,001","<0,001","0,055","0,005",-,-,-,-,-,-,-,-,-,-,-,-,-,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,CAT-01,208707,8110437,19 Sur,WGS84,80,Simple,"As, B",ECA agua 2017,"Canal de la Junta de Usuarios del Valle de Tambo, en la bocatoma.",9/05/2017,"1,965","0,08","<0,006","<0,006","0,185","0,154","0,063","0,056","<0,0005","<0,0005",135,"<0,01","<0,01","3,936","3,358","<0,001","<0,001","98,58","89,31","2,9","1,93","336,9","0,003","<0,001","0,103","0,0096",1801,"<0,001","<0,001","5,8","0,011","<0,003","1,385","1,272","0,06","<0,01","1,778","0,035","0,592","0,534","21,02","19,28","0,0991","0,04","<0,0001","<0,0001","0,005","0,004","<0,002","<0,002","0,71","<0,01","<1,00","8,55","7,73","<0,002","<0,002","<0,001","<0,001","15,11","14,7","<0,006","<0,006","17,8","13,1","246,3","227,6",1216,"36,4","158,1","<0,002","<0,007","<0,007",24,"0,009","<0,001","<0,001","<0,001","0,07","0,007",-,-,-,-,-,-,-,-,-,-,-,-,-,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agua,Agua superficial,Agua superficial de ríos y quebradas,LBoq1,196838,8100253,19 Sur,WGS84,-4,Simple,Oxígeno disuelto,ECA agua 2017,Ubicado en el mirador de la laguna Boquerón.,11/05/2017,"0,04","0,016","<0,006","<0,006","0,035","0,034","0,075","0,073","<0,0005","<0,0005",360,"<0,01","<0,01","6,817","6,586","<0,001","<0,001","131,6","124,2","1,3",-,1131,"<0,001","<0,001","<0,002","<0,002",5460,"<0,001","<0,001","11,2","0,022","0,011","1,911","1,782","0,15","0,13","0,308","0,306","0,984","0,911","50,21","48,22","0,392","0,378","<0,0001","<0,0001","<0,002","<0,002","<0,002","<0,002","0,24","<0,01 (1,08)","<1,00","2,34","7,71","0,003","<0,002","<0,001","<0,001","64,09","60,1","<0,006","<0,006","17,9","16,8","756,2","704,3",3824,"4,5","689,6","<0,002","<0,007","<0,007","26,5","0,002","0,002","<0,001","<0,001","0,019","<0,004","<0,017","<0,015","<0,017",<5,<5,<5,"<0,016","<0,012",<5,"<0,016","<0,012","<0,014","<0,017",23,"<0,015","<0,017",<2,<3,"<0,015","<0,018","<0,018","<0,023","<0,020","<0,015",<1,<1,"<0,013","<0,015","<0,016",<1,"<0,012",<2,"0,24",<1,<2,<1,<3,<1
